fiscal_year,ssa,person_orcid,first_name,middle_name,last_name,proposal_role,affiliation_uei,affiliation_name,factor1_assessment,factor2_assessment,factor3_assessment,factor4_assessment,person_overall_assessment,multiple_mitigation,mitigation_explanation_person,mitigation_strategy_proposal,mitigation_explanation_proposal,proposal_number,opportunity_number,proposal_title,submitting_entity_uei,submitting_entity_name,review_type,reviewing_component,reviewing_subcomponent,assessment_state,approved_date,review_notes,mitigation_status,award_type,award_state,fain,awarded_date,award_pop_start,award_pop_end,proposal_files,person_files,review_files
2023,SSA-synergy,9818-6881-1670-7498,Linda,,Davis,Co-PI,2GM2D03Z4F45,Omni Consumer Products,Prohibited Factors,Prohibited Factors,No Mitigation Needed,No Mitigation Needed,Mitigation Measures Required,,,,,79981153,OPP-865658,Automated bi-directional pricing structure Project,EB3Q82NDH2ZA,MomCorp,Initial,DHA,TTO,Completed,12/13/2025 0:25,,Not Needed,Other,In Negotiation,,,7/19/2023 7:09,6/24/2020 20:14,proposal_79981153.pdf,person_Davis.pdf,
2025,SSA-development,8378-7883-3324-3119,Mary,Mary,Moore,Student,95C7CBF2RFOV,Acme Corp,No Mitigation Needed,Mitigation Measures Required,No Mitigation Needed,Prohibited Factors,Prohibited Factors,,development development development synergy synergy synergy research strategy integration integration strategy.,Threat Briefs,strategy optimization development strategy analysis synergy strategy optimization.,54035595,OPP-076595,Ameliorated didactic strategy Project,P0BJREZAN0YF,Stark Industries,Initial,DTRA,TTO,In Progress,10/10/2023 19:50,,Not Needed,Grant,Awarded,FAIN7480949,8/4/2022 23:21,2/25/2021 13:38,7/3/2022 16:36,proposal_54035595.pdf,person_Moore.pdf,
2025,SSA-development,6426-6062-5484-2188,Jane,,Wilson,Collaborator,8JK40Q30BVHV,Cyberdyne Systems,Prohibited Factors,No Mitigation Needed,Prohibited Factors,Prohibited Factors,Mitigation Measures Required,,research integration synergy optimization analysis solutions deployment research.,Threat Briefs,strategy optimization development strategy analysis synergy strategy optimization.,54035595,OPP-076595,Ameliorated didactic strategy Project,P0BJREZAN0YF,Stark Industries,Initial,DTRA,TTO,In Progress,10/10/2023 19:50,,Not Needed,Grant,Awarded,FAIN7480949,8/4/2022 23:21,2/25/2021 13:38,7/3/2022 16:36,proposal_54035595.pdf,person_Wilson.pdf,
2025,SSA-development,9009-4486-9828-9810,Mary,,Taylor,Collaborator,EB3Q82NDH2ZA,MomCorp,No Mitigation Needed,Prohibited Factors,No Mitigation Needed,Mitigation Measures Required,Mitigation Measures Required,Threat Briefs,analysis development synergy deployment optimization development analysis optimization analysis strategy research strategy strategy innovation.,Threat Briefs,strategy optimization development strategy analysis synergy strategy optimization.,54035595,OPP-076595,Ameliorated didactic strategy Project,P0BJREZAN0YF,Stark Industries,Initial,DTRA,TTO,In Progress,10/10/2023 19:50,,Not Needed,Grant,Awarded,FAIN7480949,8/4/2022 23:21,2/25/2021 13:38,7/3/2022 16:36,proposal_54035595.pdf,,
2025,SSA-development,9029-9262-4368-5599,Patricia,,Brown,Consultant,95C7CBF2RFOV,Acme Corp,Prohibited Factors,Mitigation Measures Required,Prohibited Factors,No Mitigation Needed,Prohibited Factors,Threat Briefs,research synergy analysis research optimization integration deployment research development solutions innovation strategy.,Threat Briefs,strategy optimization development strategy analysis synergy strategy optimization.,54035595,OPP-076595,Ameliorated didactic strategy Project,P0BJREZAN0YF,Stark Industries,Initial,DTRA,TTO,In Progress,10/10/2023 19:50,,Not Needed,Grant,Awarded,FAIN7480949,8/4/2022 23:21,2/25/2021 13:38,7/3/2022 16:36,proposal_54035595.pdf,person_Brown.pdf,
2024,SSA-synergy,7405-9354-2947-4642,Patricia,,Wilson,Consultant,EB3Q82NDH2ZA,MomCorp,Mitigation Measures Required,Prohibited Factors,Mitigation Measures Required,Prohibited Factors,No Mitigation Needed,Threat Briefs,,,,70244831,OPP-363596,Business-focused client-driven initiative Project,8JK40Q30BVHV,Cyberdyne Systems,Mitigation Annual Review,INSCOM,DSO,In Progress,12/8/2025 8:01,,Not Needed,FAR-based Contract,In Negotiation,,9/6/2020 6:16,,9/4/2020 17:30,proposal_70244831.pdf,,
2024,SSA-synergy,7902-9517-3520-2799,Linda,Susan,Smith,Student,VWDUSH65P3UT,Wayne Enterprises,Prohibited Factors,No Mitigation Needed,Mitigation Measures Required,No Mitigation Needed,Prohibited Factors,,integration analysis development development synergy.,,,70244831,OPP-363596,Business-focused client-driven initiative Project,8JK40Q30BVHV,Cyberdyne Systems,Mitigation Annual Review,INSCOM,DSO,In Progress,12/8/2025 8:01,,Not Needed,FAR-based Contract,In Negotiation,,9/6/2020 6:16,,9/4/2020 17:30,proposal_70244831.pdf,,
2023,SSA-research,2086-8415-7667-4413,Peter,John,Anderson,Student,CZ5TQAGRDPFT,Tyrell Corp,Prohibited Factors,Prohibited Factors,Prohibited Factors,No Mitigation Needed,Prohibited Factors,,analysis strategy innovation optimization optimization strategy integration deployment.,,,41954519,OPP-789290,Assimilated tangible parallelism Project,8JK40Q30BVHV,Cyberdyne Systems,Mitigation Annual Review,DHA,DSO,Canceled,10/3/2020 8:07,tFozraLkhDdxEskKlflWkhwHsULlGeCxpUB X,Pending,FAR-based Contract,In Negotiation,,7/7/2022 18:21,12/15/2022 1:08,8/2/2024 8:26,proposal_41954519.pdf,,
2023,SSA-research,4119-2857-8173-6600,Mary,,Miller,Consultant,1317BRU1K5HM,Blue Sun Corp,Mitigation Measures Required,Mitigation Measures Required,Prohibited Factors,Prohibited Factors,Prohibited Factors,,synergy development optimization strategy innovation optimization solutions optimization innovation innovation optimization synergy optimization.,,,41954519,OPP-789290,Assimilated tangible parallelism Project,8JK40Q30BVHV,Cyberdyne Systems,Mitigation Annual Review,DHA,DSO,Canceled,10/3/2020 8:07,tFozraLkhDdxEskKlflWkhwHsULlGeCxpUB X,Pending,FAR-based Contract,In Negotiation,,7/7/2022 18:21,12/15/2022 1:08,8/2/2024 8:26,proposal_41954519.pdf,person_Miller.pdf,
2023,SSA-research,2276-6001-5996-2872,Jane,David,Anderson,Student,UNNDE2JVWW22,Omni Consumer Products,No Mitigation Needed,No Mitigation Needed,Mitigation Measures Required,Prohibited Factors,No Mitigation Needed,"Cessation, Increased Reporting",,,,41954519,OPP-789290,Assimilated tangible parallelism Project,8JK40Q30BVHV,Cyberdyne Systems,Mitigation Annual Review,DHA,DSO,Canceled,10/3/2020 8:07,tFozraLkhDdxEskKlflWkhwHsULlGeCxpUB X,Pending,FAR-based Contract,In Negotiation,,7/7/2022 18:21,12/15/2022 1:08,8/2/2024 8:26,proposal_41954519.pdf,person_Anderson.pdf,
2023,SSA-research,4607-7811-9415-6646,Mary,Linda,Davis,Co-PI,4K0AW4066EK0,Virtucon,Prohibited Factors,No Mitigation Needed,Mitigation Measures Required,Mitigation Measures Required,Prohibited Factors,"Cessation, Increased Reporting",integration synergy analysis integration research research.,,,41954519,OPP-789290,Assimilated tangible parallelism Project,8JK40Q30BVHV,Cyberdyne Systems,Mitigation Annual Review,DHA,DSO,Canceled,10/3/2020 8:07,tFozraLkhDdxEskKlflWkhwHsULlGeCxpUB X,Pending,FAR-based Contract,In Negotiation,,7/7/2022 18:21,12/15/2022 1:08,8/2/2024 8:26,proposal_41954519.pdf,,
2024,SSA-optimization,5449-1918-8071-9289,John,Patricia,Moore,Co-PI,VWDUSH65P3UT,Wayne Enterprises,Mitigation Measures Required,Mitigation Measures Required,Prohibited Factors,Prohibited Factors,Prohibited Factors,"Cessation, Increased Reporting",analysis research development synergy research.,"Cessation, Increased Reporting",synergy optimization optimization deployment synergy research synergy integration development analysis.,31025815,OPP-135407,Business-focused client-driven initiative Project,EB3Q82NDH2ZA,MomCorp,Mitigation Annual Review,INSCOM,DSO,Completed,5/26/2022 23:13,,Pending,CRADA,Awarded,FAIN5195099,1/2/2022 6:18,7/23/2024 23:00,8/24/2022 8:24,proposal_31025815.pdf,,
2024,SSA-optimization,1532-1355-6668-6924,Patricia,,Williams,PI,VWDUSH65P3UT,Wayne Enterprises,Mitigation Measures Required,Prohibited Factors,Prohibited Factors,Mitigation Measures Required,Prohibited Factors,,strategy deployment solutions synergy innovation development.,"Cessation, Increased Reporting",synergy optimization optimization deployment synergy research synergy integration development analysis.,31025815,OPP-135407,Business-focused client-driven initiative Project,EB3Q82NDH2ZA,MomCorp,Mitigation Annual Review,INSCOM,DSO,Completed,5/26/2022 23:13,,Pending,CRADA,Awarded,FAIN5195099,1/2/2022 6:18,7/23/2024 23:00,8/24/2022 8:24,proposal_31025815.pdf,person_Williams.pdf,
2025,SSA-innovation,1139-8650-9589-5613,Patricia,Robert,Smith,PI,4K0AW4066EK0,Virtucon,Prohibited Factors,Prohibited Factors,No Mitigation Needed,Mitigation Measures Required,No Mitigation Needed,,integration optimization innovation analysis synergy strategy development innovation strategy synergy research optimization analysis.,Threat Briefs,,46081394,OPP-379894,Ameliorated didactic strategy Project,4K0AW4066EK0,Virtucon,Initial,DHA,I2O,Canceled,2/8/2024 19:38,YwJYqJlatCwIqAeCt jAbtnlQLlrbJFBUxfZCBFJZCnTObA kNZeLGuUAcDCpmjrfWgUndEarrCaZbjLzvImFMrRwqVzLnCZ gLRwhZURLQpWLSXHBfZntyGRQffimNuaaNxVJgYAkUEheLDb grmmSvQvtjLJGvK HNUmxBCEzniBYSDHtsS,Pending,Grant,Declined,,9/11/2021 23:23,,,proposal_46081394.pdf,,review_46081394.docx
2023,SSA-optimization,4119-2857-8173-6600,Mary,,Miller,Consultant,P0BJREZAN0YF,Stark Industries,Prohibited Factors,No Mitigation Needed,No Mitigation Needed,No Mitigation Needed,Prohibited Factors,Threat Briefs,solutions innovation integration solutions integration.,Threat Briefs,innovation solutions research development optimization strategy research deployment optimization analysis strategy analysis innovation strategy optimization.,57107617,OPP-761304,Assimilated tangible parallelism Project,VWDUSH65P3UT,Wayne Enterprises,Initial,DHA,DSO,In Progress,5/15/2025 21:17,,Complete,FAR-based Contract,Declined,,,,4/24/2023 16:24,proposal_57107617.pdf,person_Miller.pdf,
2023,SSA-optimization,7368-9539-7504-1401,John,,Davis,Co-PI,1317BRU1K5HM,Blue Sun Corp,Mitigation Measures Required,Mitigation Measures Required,Mitigation Measures Required,Mitigation Measures Required,No Mitigation Needed,"Cessation, Increased Reporting",deployment solutions development analysis analysis innovation development integration research synergy development innovation research integration integration.,Threat Briefs,innovation solutions research development optimization strategy research deployment optimization analysis strategy analysis innovation strategy optimization.,57107617,OPP-761304,Assimilated tangible parallelism Project,VWDUSH65P3UT,Wayne Enterprises,Initial,DHA,DSO,In Progress,5/15/2025 21:17,,Complete,FAR-based Contract,Declined,,,,4/24/2023 16:24,proposal_57107617.pdf,,
2023,SSA-optimization,7209-9708-3693-3439,Michael,,Moore,Collaborator,JTK7SBNYTSPA,Globex Inc,Prohibited Factors,Prohibited Factors,Mitigation Measures Required,Prohibited Factors,Mitigation Measures Required,"Cessation, Increased Reporting",integration integration analysis innovation synergy strategy research integration analysis analysis development solutions synergy.,Threat Briefs,innovation solutions research development optimization strategy research deployment optimization analysis strategy analysis innovation strategy optimization.,57107617,OPP-761304,Assimilated tangible parallelism Project,VWDUSH65P3UT,Wayne Enterprises,Initial,DHA,DSO,In Progress,5/15/2025 21:17,,Complete,FAR-based Contract,Declined,,,,4/24/2023 16:24,proposal_57107617.pdf,,
2023,SSA-research,7058-6482-4903-3575,Susan,Linda,Miller,Consultant,95C7CBF2RFOV,Acme Corp,No Mitigation Needed,Prohibited Factors,Prohibited Factors,No Mitigation Needed,Mitigation Measures Required,,,Threat Briefs,development development innovation research synergy optimization solutions integration synergy solutions development synergy integration optimization synergy.,20769664,OPP-036665,Advanced cohesive hardware Project,4K0AW4066EK0,Virtucon,Initial,DARPA,MSO,Completed,9/3/2023 12:14,sjjELieDRfWyssutVtnRjekFPaZQstcxMXQwDpJmMYakMstnoiYdRQvgUDzwAGJyxJLNilddwRxMCKiXhqatFXeNocYJsbQZWaCGlfDGgaMxLdmKGY,Complete,FAR-based Contract,In Negotiation,,12/11/2024 5:01,,3/25/2022 7:03,proposal_20769664.pdf,,review_20769664.docx
2023,SSA-research,1385-8950-3310-4586,David,,Moore,Student,EB3Q82NDH2ZA,MomCorp,Prohibited Factors,Mitigation Measures Required,Mitigation Measures Required,Mitigation Measures Required,Mitigation Measures Required,Threat Briefs,,Threat Briefs,development development innovation research synergy optimization solutions integration synergy solutions development synergy integration optimization synergy.,20769664,OPP-036665,Advanced cohesive hardware Project,4K0AW4066EK0,Virtucon,Initial,DARPA,MSO,Completed,9/3/2023 12:14,sjjELieDRfWyssutVtnRjekFPaZQstcxMXQwDpJmMYakMstnoiYdRQvgUDzwAGJyxJLNilddwRxMCKiXhqatFXeNocYJsbQZWaCGlfDGgaMxLdmKGY,Complete,FAR-based Contract,In Negotiation,,12/11/2024 5:01,,3/25/2022 7:03,proposal_20769664.pdf,,review_20769664.docx
2025,SSA-optimization,3658-7489-4481-2249,Robert,,Williams,PI,S16GSAX4CIDY,Globex Inc,No Mitigation Needed,Mitigation Measures Required,Mitigation Measures Required,Prohibited Factors,Prohibited Factors,"Cessation, Increased Reporting",synergy optimization development solutions optimization solutions optimization innovation.,Threat Briefs,deployment analysis integration strategy analysis optimization solutions optimization deployment integration.,38248016,OPP-008803,Cloned scalable matrix Project,P0BJREZAN0YF,Stark Industries,Mitigation Annual Review,DARPA,DSO,Completed,2/21/2020 13:52,jyrXxeSPbxLvLWDCSqTUzjjbTLxXCPCKOykTwEzPPNuRhWmuZbHqvNzpwUVknnFVdeLLvqgYivJJffccbjACdWBOQHkHIRJBYKDzgoLpgMccFOFeoxSVsQURVhPQVgzTlYNvKDuiG,Not Needed,Other,Pending,,1/8/2024 4:56,,11/17/2022 23:54,proposal_38248016.pdf,,
2025,SSA-optimization,5051-6236-8974-1785,Robert,,Brown,Student,P0BJREZAN0YF,Stark Industries,Mitigation Measures Required,Mitigation Measures Required,Prohibited Factors,Prohibited Factors,Mitigation Measures Required,"Cessation, Increased Reporting",optimization deployment research optimization synergy research innovation synergy.,Threat Briefs,deployment analysis integration strategy analysis optimization solutions optimization deployment integration.,38248016,OPP-008803,Cloned scalable matrix Project,P0BJREZAN0YF,Stark Industries,Mitigation Annual Review,DARPA,DSO,Completed,2/21/2020 13:52,jyrXxeSPbxLvLWDCSqTUzjjbTLxXCPCKOykTwEzPPNuRhWmuZbHqvNzpwUVknnFVdeLLvqgYivJJffccbjACdWBOQHkHIRJBYKDzgoLpgMccFOFeoxSVsQURVhPQVgzTlYNvKDuiG,Not Needed,Other,Pending,,1/8/2024 4:56,,11/17/2022 23:54,proposal_38248016.pdf,,
2025,SSA-optimization,7058-6482-4903-3575,Susan,,Miller,Collaborator,4K0AW4066EK0,Virtucon,No Mitigation Needed,Prohibited Factors,No Mitigation Needed,Prohibited Factors,No Mitigation Needed,Threat Briefs,,Threat Briefs,deployment analysis integration strategy analysis optimization solutions optimization deployment integration.,38248016,OPP-008803,Cloned scalable matrix Project,P0BJREZAN0YF,Stark Industries,Mitigation Annual Review,DARPA,DSO,Completed,2/21/2020 13:52,jyrXxeSPbxLvLWDCSqTUzjjbTLxXCPCKOykTwEzPPNuRhWmuZbHqvNzpwUVknnFVdeLLvqgYivJJffccbjACdWBOQHkHIRJBYKDzgoLpgMccFOFeoxSVsQURVhPQVgzTlYNvKDuiG,Not Needed,Other,Pending,,1/8/2024 4:56,,11/17/2022 23:54,proposal_38248016.pdf,,
2025,SSA-optimization,2553-1903-5850-9269,Susan,Robert,Davis,PI,4K0AW4066EK0,Virtucon,No Mitigation Needed,Mitigation Measures Required,Prohibited Factors,No Mitigation Needed,Mitigation Measures Required,,,Threat Briefs,deployment analysis integration strategy analysis optimization solutions optimization deployment integration.,38248016,OPP-008803,Cloned scalable matrix Project,P0BJREZAN0YF,Stark Industries,Mitigation Annual Review,DARPA,DSO,Completed,2/21/2020 13:52,jyrXxeSPbxLvLWDCSqTUzjjbTLxXCPCKOykTwEzPPNuRhWmuZbHqvNzpwUVknnFVdeLLvqgYivJJffccbjACdWBOQHkHIRJBYKDzgoLpgMccFOFeoxSVsQURVhPQVgzTlYNvKDuiG,Not Needed,Other,Pending,,1/8/2024 4:56,,11/17/2022 23:54,proposal_38248016.pdf,person_Davis.pdf,
2025,SSA-integration,3721-3731-4798-8779,Susan,,Jones,Consultant,EB3Q82NDH2ZA,MomCorp,Mitigation Measures Required,No Mitigation Needed,Prohibited Factors,No Mitigation Needed,Prohibited Factors,"Cessation, Increased Reporting",analysis innovation deployment integration synergy solutions integration optimization integration research analysis strategy development innovation strategy.,"Cessation, Increased Reporting",integration optimization research research analysis integration analysis optimization solutions.,32271804,OPP-749767,Configurable value-added system engine Project,VWDUSH65P3UT,Wayne Enterprises,Mitigation Annual Review,DARPA,DSO,Draft,9/17/2023 15:13,mCrntMSNivKgxNmHdItXZxoqpgKuykHbVigorHglYqxaCvIXoEJKWvwOzjraaLfbC ykHDjLg FvjNRKiBEohxhZOVjlLfqTSPHuoPbePnfEuCHCdxVZRmPjvrWZnkaCBeJAtOrXyFCkEkcjLqWhoTOYKsogzEBjDJGidMBnUCBdiKdCupuIESuLcllSqmKQ,Not Needed,FAR-based Contract,Awarded,FAIN9229303,7/25/2023 3:03,,,proposal_32271804.pdf,person_Jones.pdf,review_32271804.docx
2025,SSA-integration,9950-1762-8322-8866,Linda,Michael,Williams,Co-PI,1317BRU1K5HM,Blue Sun Corp,Mitigation Measures Required,No Mitigation Needed,No Mitigation Needed,Prohibited Factors,No Mitigation Needed,"Cessation, Increased Reporting",deployment integration strategy analysis analysis solutions analysis integration solutions.,"Cessation, Increased Reporting",integration optimization research research analysis integration analysis optimization solutions.,32271804,OPP-749767,Configurable value-added system engine Project,VWDUSH65P3UT,Wayne Enterprises,Mitigation Annual Review,DARPA,DSO,Draft,9/17/2023 15:13,mCrntMSNivKgxNmHdItXZxoqpgKuykHbVigorHglYqxaCvIXoEJKWvwOzjraaLfbC ykHDjLg FvjNRKiBEohxhZOVjlLfqTSPHuoPbePnfEuCHCdxVZRmPjvrWZnkaCBeJAtOrXyFCkEkcjLqWhoTOYKsogzEBjDJGidMBnUCBdiKdCupuIESuLcllSqmKQ,Not Needed,FAR-based Contract,Awarded,FAIN9229303,7/25/2023 3:03,,,proposal_32271804.pdf,person_Williams.pdf,review_32271804.docx
2025,SSA-integration,9283-9306-5786-5335,Linda,,Brown,Collaborator,S16GSAX4CIDY,Globex Inc,Mitigation Measures Required,Mitigation Measures Required,Mitigation Measures Required,Prohibited Factors,No Mitigation Needed,Threat Briefs,research analysis strategy optimization innovation synergy strategy synergy development deployment development development.,"Cessation, Increased Reporting",integration optimization research research analysis integration analysis optimization solutions.,32271804,OPP-749767,Configurable value-added system engine Project,VWDUSH65P3UT,Wayne Enterprises,Mitigation Annual Review,DARPA,DSO,Draft,9/17/2023 15:13,mCrntMSNivKgxNmHdItXZxoqpgKuykHbVigorHglYqxaCvIXoEJKWvwOzjraaLfbC ykHDjLg FvjNRKiBEohxhZOVjlLfqTSPHuoPbePnfEuCHCdxVZRmPjvrWZnkaCBeJAtOrXyFCkEkcjLqWhoTOYKsogzEBjDJGidMBnUCBdiKdCupuIESuLcllSqmKQ,Not Needed,FAR-based Contract,Awarded,FAIN9229303,7/25/2023 3:03,,,proposal_32271804.pdf,,review_32271804.docx
2025,SSA-integration,1532-1355-6668-6924,Patricia,,Williams,Collaborator,P0BJREZAN0YF,Stark Industries,Prohibited Factors,Mitigation Measures Required,Prohibited Factors,No Mitigation Needed,Mitigation Measures Required,Threat Briefs,,"Cessation, Increased Reporting",integration optimization research research analysis integration analysis optimization solutions.,32271804,OPP-749767,Configurable value-added system engine Project,VWDUSH65P3UT,Wayne Enterprises,Mitigation Annual Review,DARPA,DSO,Draft,9/17/2023 15:13,mCrntMSNivKgxNmHdItXZxoqpgKuykHbVigorHglYqxaCvIXoEJKWvwOzjraaLfbC ykHDjLg FvjNRKiBEohxhZOVjlLfqTSPHuoPbePnfEuCHCdxVZRmPjvrWZnkaCBeJAtOrXyFCkEkcjLqWhoTOYKsogzEBjDJGidMBnUCBdiKdCupuIESuLcllSqmKQ,Not Needed,FAR-based Contract,Awarded,FAIN9229303,7/25/2023 3:03,,,proposal_32271804.pdf,,review_32271804.docx
2025,SSA-integration,6637-3966-2365-1403,John,,Jones,Collaborator,P0BJREZAN0YF,Stark Industries,No Mitigation Needed,No Mitigation Needed,No Mitigation Needed,Prohibited Factors,Mitigation Measures Required,Threat Briefs,synergy deployment analysis optimization solutions analysis solutions synergy analysis.,"Cessation, Increased Reporting",integration optimization research research analysis integration analysis optimization solutions.,32271804,OPP-749767,Configurable value-added system engine Project,VWDUSH65P3UT,Wayne Enterprises,Mitigation Annual Review,DARPA,DSO,Draft,9/17/2023 15:13,mCrntMSNivKgxNmHdItXZxoqpgKuykHbVigorHglYqxaCvIXoEJKWvwOzjraaLfbC ykHDjLg FvjNRKiBEohxhZOVjlLfqTSPHuoPbePnfEuCHCdxVZRmPjvrWZnkaCBeJAtOrXyFCkEkcjLqWhoTOYKsogzEBjDJGidMBnUCBdiKdCupuIESuLcllSqmKQ,Not Needed,FAR-based Contract,Awarded,FAIN9229303,7/25/2023 3:03,,,proposal_32271804.pdf,,review_32271804.docx
2024,SSA-synergy,1250-3427-8548-5434,Jane,,Miller,Student,EB3Q82NDH2ZA,MomCorp,Mitigation Measures Required,Mitigation Measures Required,Prohibited Factors,Mitigation Measures Required,Prohibited Factors,Threat Briefs,solutions solutions solutions integration strategy innovation optimization development analysis optimization research.,"Cessation, Increased Reporting",solutions integration research research development solutions solutions.,38866159,OPP-341922,Cross-platform multimedia project Project,8JK40Q30BVHV,Cyberdyne Systems,Initial,DTRA,I2O,Canceled,3/27/2020 16:15,XXzSqzpzrzfQHcoQwutpzRnlRCGsMUwtJxwEXhpAWSLVJJEzwGkPuPzPIjMSjnVeIPSiaVOwdDTobkRTjYfHjeAIaWwCRsGVxslgSkBMCfCfoVFxZpUbbNxRGEfRwpMSDagGn YCYIJYsFofrr yiDbjsDrgGdGcqeafqHTMkoDTxpbfFK,Complete,Other,In Negotiation,,6/12/2020 17:53,2/5/2025 7:57,5/21/2024 12:11,proposal_38866159.pdf,person_Miller.pdf,review_38866159.docx
2024,SSA-synergy,2104-2178-8021-8947,David,,Taylor,Consultant,2GM2D03Z4F45,Omni Consumer Products,No Mitigation Needed,Prohibited Factors,No Mitigation Needed,Prohibited Factors,Mitigation Measures Required,,synergy optimization strategy synergy deployment synergy.,"Cessation, Increased Reporting",solutions integration research research development solutions solutions.,38866159,OPP-341922,Cross-platform multimedia project Project,8JK40Q30BVHV,Cyberdyne Systems,Initial,DTRA,I2O,Canceled,3/27/2020 16:15,XXzSqzpzrzfQHcoQwutpzRnlRCGsMUwtJxwEXhpAWSLVJJEzwGkPuPzPIjMSjnVeIPSiaVOwdDTobkRTjYfHjeAIaWwCRsGVxslgSkBMCfCfoVFxZpUbbNxRGEfRwpMSDagGn YCYIJYsFofrr yiDbjsDrgGdGcqeafqHTMkoDTxpbfFK,Complete,Other,In Negotiation,,6/12/2020 17:53,2/5/2025 7:57,5/21/2024 12:11,proposal_38866159.pdf,,review_38866159.docx
2023,SSA-analysis,8891-4867-3529-7308,Patricia,,Miller,Co-PI,P0BJREZAN0YF,Stark Industries,No Mitigation Needed,No Mitigation Needed,Prohibited Factors,Prohibited Factors,Mitigation Measures Required,"Cessation, Increased Reporting",,"Cessation, Increased Reporting",deployment research deployment innovation optimization solutions optimization.,17553850,OPP-243838,Cross-platform multimedia project Project,CZ5TQAGRDPFT,Tyrell Corp,Initial,NGA,CDMRP,Completed,5/26/2023 0:28,,Pending,Other Transaction Authority,Pending,,,,11/14/2024 3:15,proposal_17553850.pdf,person_Miller.pdf,
2023,SSA-analysis,6090-8727-9692-9539,Robert,Linda,Davis,Student,1317BRU1K5HM,Blue Sun Corp,Mitigation Measures Required,Prohibited Factors,Prohibited Factors,No Mitigation Needed,Mitigation Measures Required,Threat Briefs,solutions solutions integration research analysis integration research deployment solutions solutions integration.,"Cessation, Increased Reporting",deployment research deployment innovation optimization solutions optimization.,17553850,OPP-243838,Cross-platform multimedia project Project,CZ5TQAGRDPFT,Tyrell Corp,Initial,NGA,CDMRP,Completed,5/26/2023 0:28,,Pending,Other Transaction Authority,Pending,,,,11/14/2024 3:15,proposal_17553850.pdf,person_Davis.pdf,
2023,SSA-analysis,7902-9517-3520-2799,Linda,,Smith,Collaborator,2GM2D03Z4F45,Omni Consumer Products,No Mitigation Needed,Mitigation Measures Required,Mitigation Measures Required,No Mitigation Needed,Prohibited Factors,Threat Briefs,integration analysis integration analysis synergy analysis integration solutions integration deployment research.,"Cessation, Increased Reporting",deployment research deployment innovation optimization solutions optimization.,17553850,OPP-243838,Cross-platform multimedia project Project,CZ5TQAGRDPFT,Tyrell Corp,Initial,NGA,CDMRP,Completed,5/26/2023 0:28,,Pending,Other Transaction Authority,Pending,,,,11/14/2024 3:15,proposal_17553850.pdf,,
2023,SSA-analysis,2553-1903-5850-9269,Susan,,Davis,Co-PI,4K0AW4066EK0,Virtucon,No Mitigation Needed,Prohibited Factors,Prohibited Factors,Mitigation Measures Required,Prohibited Factors,"Cessation, Increased Reporting",,"Cessation, Increased Reporting",deployment research deployment innovation optimization solutions optimization.,17553850,OPP-243838,Cross-platform multimedia project Project,CZ5TQAGRDPFT,Tyrell Corp,Initial,NGA,CDMRP,Completed,5/26/2023 0:28,,Pending,Other Transaction Authority,Pending,,,,11/14/2024 3:15,proposal_17553850.pdf,,
2024,SSA-optimization,8936-7468-4916-2583,David,,Anderson,Collaborator,4K0AW4066EK0,Virtucon,No Mitigation Needed,Prohibited Factors,No Mitigation Needed,Prohibited Factors,No Mitigation Needed,Threat Briefs,research innovation deployment research synergy strategy analysis development strategy synergy strategy innovation deployment deployment.,"Cessation, Increased Reporting",,86712132,OPP-045959,Business-focused client-driven initiative Project,S16GSAX4CIDY,Globex Inc,Mitigation Annual Review,DTRA,I2O,In Progress,5/22/2025 19:48,hNyWaJSRPCDpllszlZazOMUTtEhfkUjdiRKYUDOWBkMJLJhYLAoNUTxuqvgCBttFgZkPKXNGyKoRa GxwzpVDNBXmIFSGKoxCAVHiOfhiqgqfWGUSUQFwCVuLYegSrYVpGLYaEhVzWPwvvzUesxwAvceAPputzXEsflsNv,Not Needed,FAR-based Contract,Declined,,,5/16/2025 16:11,,proposal_86712132.pdf,person_Anderson.pdf,
2024,SSA-optimization,7751-3047-7207-7844,John,,Brown,Co-PI,EB3Q82NDH2ZA,MomCorp,Mitigation Measures Required,No Mitigation Needed,Prohibited Factors,Prohibited Factors,No Mitigation Needed,"Cessation, Increased Reporting",development analysis synergy solutions research research deployment analysis development research research research deployment innovation development.,"Cessation, Increased Reporting",,86712132,OPP-045959,Business-focused client-driven initiative Project,S16GSAX4CIDY,Globex Inc,Mitigation Annual Review,DTRA,I2O,In Progress,5/22/2025 19:48,hNyWaJSRPCDpllszlZazOMUTtEhfkUjdiRKYUDOWBkMJLJhYLAoNUTxuqvgCBttFgZkPKXNGyKoRa GxwzpVDNBXmIFSGKoxCAVHiOfhiqgqfWGUSUQFwCVuLYegSrYVpGLYaEhVzWPwvvzUesxwAvceAPputzXEsflsNv,Not Needed,FAR-based Contract,Declined,,,5/16/2025 16:11,,proposal_86712132.pdf,,
